date,region_from,region_to,value
3/8/2020,fid000,fid001,1312
4/15/2020,fid000,fid001,671
4/14/2020,fid000,fid001,768
3/9/2020,fid000,fid001,1152
3/21/2020,fid000,fid001,1075
4/28/2020,fid000,fid001,811
3/23/2020,fid000,fid001,893
4/16/2020,fid000,fid001,680
4/2/2020,fid000,fid001,689
4/3/2020,fid000,fid001,635
4/17/2020,fid000,fid001,702
3/22/2020,fid000,fid001,987
4/13/2020,fid000,fid001,619
4/7/2020,fid000,fid001,778
3/26/2020,fid000,fid001,1041
3/27/2020,fid000,fid001,823
4/6/2020,fid000,fid001,837
4/12/2020,fid000,fid001,730
4/4/2020,fid000,fid001,708
4/10/2020,fid000,fid001,683
3/19/2020,fid000,fid001,954
3/31/2020,fid000,fid001,474
3/25/2020,fid000,fid001,799
3/24/2020,fid000,fid001,671
3/30/2020,fid000,fid001,522
4/11/2020,fid000,fid001,438
3/18/2020,fid000,fid001,1220
4/5/2020,fid000,fid001,1161
5/22/2020,fid000,fid001,1029
2/3/2020,fid000,fid001,1450
2/17/2020,fid000,fid001,1055
2/2/2020,fid000,fid001,1526
5/23/2020,fid000,fid001,755
5/21/2020,fid000,fid001,805
2/28/2020,fid000,fid001,1820
2/14/2020,fid000,fid001,1650
5/9/2020,fid000,fid001,836
2/1/2020,fid000,fid001,2033
5/8/2020,fid000,fid001,957
2/15/2020,fid000,fid001,1570
5/20/2020,fid000,fid001,916
2/29/2020,fid000,fid001,1748
2/11/2020,fid000,fid001,1294
5/18/2020,fid000,fid001,754
2/5/2020,fid000,fid001,1463
5/24/2020,fid000,fid001,725
5/30/2020,fid000,fid001,730
5/31/2020,fid000,fid001,732
5/25/2020,fid000,fid001,725
2/10/2020,fid000,fid001,1584
5/19/2020,fid000,fid001,641
2/6/2020,fid000,fid001,1575
2/12/2020,fid000,fid001,1235
5/27/2020,fid000,fid001,750
5/26/2020,fid000,fid001,820
2/13/2020,fid000,fid001,1280
2/7/2020,fid000,fid001,1550
5/17/2020,fid000,fid001,611
5/3/2020,fid000,fid001,777
2/22/2020,fid000,fid001,1537
2/23/2020,fid000,fid001,1052
5/2/2020,fid000,fid001,695
5/16/2020,fid000,fid001,759
2/9/2020,fid000,fid001,1478
5/14/2020,fid000,fid001,911
2/21/2020,fid000,fid001,1617
5/28/2020,fid000,fid001,939
2/20/2020,fid000,fid001,1469
5/29/2020,fid000,fid001,944
5/15/2020,fid000,fid001,1024
5/1/2020,fid000,fid001,887
2/8/2020,fid000,fid001,1571
2/24/2020,fid000,fid001,1321
5/5/2020,fid000,fid001,924
5/11/2020,fid000,fid001,713
2/18/2020,fid000,fid001,1235
5/10/2020,fid000,fid001,743
2/19/2020,fid000,fid001,1278
5/4/2020,fid000,fid001,760
2/25/2020,fid000,fid001,1328
2/27/2020,fid000,fid001,1540
5/12/2020,fid000,fid001,712
5/6/2020,fid000,fid001,818
5/7/2020,fid000,fid001,837
5/13/2020,fid000,fid001,847
2/26/2020,fid000,fid001,1263
3/15/2020,fid000,fid001,983
4/8/2020,fid000,fid001,768
4/20/2020,fid000,fid001,556
3/29/2020,fid000,fid001,1048
4/21/2020,fid000,fid001,837
3/28/2020,fid000,fid001,931
4/9/2020,fid000,fid001,667
3/14/2020,fid000,fid001,1464
3/2/2020,fid000,fid001,1317
3/16/2020,fid000,fid001,1270
4/23/2020,fid000,fid001,821
4/22/2020,fid000,fid001,781
3/17/2020,fid000,fid001,1255
3/3/2020,fid000,fid001,1155
4/26/2020,fid000,fid001,632
3/7/2020,fid000,fid001,1481
3/13/2020,fid000,fid001,1370
3/6/2020,fid000,fid001,1469
4/27/2020,fid000,fid001,859
4/25/2020,fid000,fid001,901
4/19/2020,fid000,fid001,593
3/5/2020,fid000,fid001,1750
4/18/2020,fid000,fid001,590
4/30/2020,fid000,fid001,918
4/24/2020,fid000,fid001,816
3/20/2020,fid000,fid002,1908
4/29/2020,fid000,fid002,1434
4/1/2020,fid000,fid002,1579
3/8/2020,fid000,fid002,1815
4/15/2020,fid000,fid002,1524
4/14/2020,fid000,fid002,1540
3/9/2020,fid000,fid002,2089
3/21/2020,fid000,fid002,1805
4/28/2020,fid000,fid002,1632
3/23/2020,fid000,fid002,1755
4/16/2020,fid000,fid002,1583
4/2/2020,fid000,fid002,1601
4/3/2020,fid000,fid002,1525
4/17/2020,fid000,fid002,1516
3/22/2020,fid000,fid002,1428
4/13/2020,fid000,fid002,1615
4/7/2020,fid000,fid002,1411
3/26/2020,fid000,fid002,1664
3/27/2020,fid000,fid002,1830
4/6/2020,fid000,fid002,1479
4/12/2020,fid000,fid002,1147
4/4/2020,fid000,fid002,1359
4/10/2020,fid000,fid002,1423
3/19/2020,fid000,fid002,1833
3/31/2020,fid000,fid002,1753
3/25/2020,fid000,fid002,1640
3/24/2020,fid000,fid002,1624
3/30/2020,fid000,fid002,1528
4/11/2020,fid000,fid002,1280
3/18/2020,fid000,fid002,1939
4/5/2020,fid000,fid002,1324
5/22/2020,fid000,fid002,1821
2/3/2020,fid000,fid002,2144
2/17/2020,fid000,fid002,1623
2/2/2020,fid000,fid002,1891
5/23/2020,fid000,fid002,1519
5/21/2020,fid000,fid002,1637
2/28/2020,fid000,fid002,2312
2/14/2020,fid000,fid002,2433
5/9/2020,fid000,fid002,1496
2/1/2020,fid000,fid002,2431
5/8/2020,fid000,fid002,1673
2/15/2020,fid000,fid002,2211
5/20/2020,fid000,fid002,1770
2/29/2020,fid000,fid002,2134
2/11/2020,fid000,fid002,2044
5/18/2020,fid000,fid002,1423
2/5/2020,fid000,fid002,2203
5/24/2020,fid000,fid002,1340
5/30/2020,fid000,fid002,1705
5/31/2020,fid000,fid002,1447
5/25/2020,fid000,fid002,1477
2/10/2020,fid000,fid002,2103
5/19/2020,fid000,fid002,1667
2/6/2020,fid000,fid002,2301
2/12/2020,fid000,fid002,2179
5/27/2020,fid000,fid002,1570
5/26/2020,fid000,fid002,1599
2/13/2020,fid000,fid002,2010
2/7/2020,fid000,fid002,2620
5/17/2020,fid000,fid002,1232
5/3/2020,fid000,fid002,1296
2/22/2020,fid000,fid002,1941
2/23/2020,fid000,fid002,1815
5/2/2020,fid000,fid002,1403
5/16/2020,fid000,fid002,1528
2/9/2020,fid000,fid002,1911
5/14/2020,fid000,fid002,1580
2/21/2020,fid000,fid002,2592
5/28/2020,fid000,fid002,1511
2/20/2020,fid000,fid002,2321
5/29/2020,fid000,fid002,1770
5/15/2020,fid000,fid002,1507
5/1/2020,fid000,fid002,1464
2/8/2020,fid000,fid002,2327
2/24/2020,fid000,fid002,2070
5/5/2020,fid000,fid002,1712
5/11/2020,fid000,fid002,1566
2/18/2020,fid000,fid002,1962
5/10/2020,fid000,fid002,1423
2/19/2020,fid000,fid002,1988
5/4/2020,fid000,fid002,1516
2/25/2020,fid000,fid002,1986
2/27/2020,fid000,fid002,2064
5/12/2020,fid000,fid002,1523
5/6/2020,fid000,fid002,1573
5/7/2020,fid000,fid002,1524
5/13/2020,fid000,fid002,1586
2/26/2020,fid000,fid002,1951
3/15/2020,fid000,fid002,1566
4/8/2020,fid000,fid002,1553
4/20/2020,fid000,fid002,1273
3/29/2020,fid000,fid002,1534
4/21/2020,fid000,fid002,1482
3/28/2020,fid000,fid002,1558
4/9/2020,fid000,fid002,1504
3/14/2020,fid000,fid002,1983
3/2/2020,fid000,fid002,2041
3/16/2020,fid000,fid002,2047
4/23/2020,fid000,fid002,1542
4/22/2020,fid000,fid002,1483
3/17/2020,fid000,fid002,2045
3/3/2020,fid000,fid002,1863
4/26/2020,fid000,fid002,1089
3/7/2020,fid000,fid002,2296
3/13/2020,fid000,fid002,2303
3/6/2020,fid000,fid002,2120
4/27/2020,fid000,fid002,1444
4/25/2020,fid000,fid002,1501
4/19/2020,fid000,fid002,1129
3/5/2020,fid000,fid002,2380
4/18/2020,fid000,fid002,1230
4/30/2020,fid000,fid002,1637
4/24/2020,fid000,fid002,1662
3/20/2020,fid000,fid003,30
4/29/2020,fid000,fid003,28
4/1/2020,fid000,fid003,28
3/8/2020,fid000,fid003,16
4/15/2020,fid000,fid003,18
4/14/2020,fid000,fid003,26
3/9/2020,fid000,fid003,32
3/21/2020,fid000,fid003,22
4/28/2020,fid000,fid003,28
3/23/2020,fid000,fid003,32
4/16/2020,fid000,fid003,29
4/2/2020,fid000,fid003,29
4/3/2020,fid000,fid003,35
4/17/2020,fid000,fid003,31
3/22/2020,fid000,fid003,39
4/13/2020,fid000,fid003,27
4/7/2020,fid000,fid003,22
3/26/2020,fid000,fid003,23
3/27/2020,fid000,fid003,33
4/6/2020,fid000,fid003,14
4/12/2020,fid000,fid003,27
4/4/2020,fid000,fid003,23
4/10/2020,fid000,fid003,37
3/19/2020,fid000,fid003,38
3/31/2020,fid000,fid003,26
3/25/2020,fid000,fid003,25
3/24/2020,fid000,fid003,29
3/30/2020,fid000,fid003,28
4/11/2020,fid000,fid003,21
3/18/2020,fid000,fid003,22
4/5/2020,fid000,fid003,27
5/22/2020,fid000,fid003,34
2/3/2020,fid000,fid003,55
2/17/2020,fid000,fid003,37
2/2/2020,fid000,fid003,41
5/23/2020,fid000,fid003,28
5/21/2020,fid000,fid003,29
2/28/2020,fid000,fid003,55
2/14/2020,fid000,fid003,43
5/9/2020,fid000,fid003,20
2/1/2020,fid000,fid003,90
5/8/2020,fid000,fid003,29
2/15/2020,fid000,fid003,46
5/20/2020,fid000,fid003,23
2/29/2020,fid000,fid003,57
2/11/2020,fid000,fid003,43
5/18/2020,fid000,fid003,20
2/5/2020,fid000,fid003,50
5/24/2020,fid000,fid003,21
5/30/2020,fid000,fid003,12
5/31/2020,fid000,fid003,13
5/25/2020,fid000,fid003,28
2/10/2020,fid000,fid003,27
5/19/2020,fid000,fid003,24
2/6/2020,fid000,fid003,60
2/12/2020,fid000,fid003,40
5/27/2020,fid000,fid003,38
5/26/2020,fid000,fid003,27
2/13/2020,fid000,fid003,43
2/7/2020,fid000,fid003,54
5/17/2020,fid000,fid003,24
5/3/2020,fid000,fid003,19
2/22/2020,fid000,fid003,53
2/23/2020,fid000,fid003,39
5/2/2020,fid000,fid003,16
5/16/2020,fid000,fid003,27
2/9/2020,fid000,fid003,28
5/14/2020,fid000,fid003,28
2/21/2020,fid000,fid003,34
5/28/2020,fid000,fid003,20
2/20/2020,fid000,fid003,36
5/29/2020,fid000,fid003,25
5/15/2020,fid000,fid003,22
5/1/2020,fid000,fid003,28
2/8/2020,fid000,fid003,52
2/24/2020,fid000,fid003,38
5/5/2020,fid000,fid003,16
5/11/2020,fid000,fid003,11
2/18/2020,fid000,fid003,30
5/10/2020,fid000,fid003,33
2/19/2020,fid000,fid003,25
5/4/2020,fid000,fid003,27
2/25/2020,fid000,fid003,32
2/27/2020,fid000,fid003,32
5/12/2020,fid000,fid003,23
5/6/2020,fid000,fid003,29
5/7/2020,fid000,fid003,24
5/13/2020,fid000,fid003,24
2/26/2020,fid000,fid003,35
3/15/2020,fid000,fid003,28
4/8/2020,fid000,fid003,32
4/20/2020,fid000,fid003,26
3/29/2020,fid000,fid003,20
4/21/2020,fid000,fid003,21
3/28/2020,fid000,fid003,22
4/9/2020,fid000,fid003,38
3/14/2020,fid000,fid003,27
3/2/2020,fid000,fid003,24
3/16/2020,fid000,fid003,34
4/22/2020,fid000,fid003,31
3/17/2020,fid000,fid003,31
3/3/2020,fid000,fid003,29
4/26/2020,fid000,fid003,11
3/7/2020,fid000,fid003,41
3/13/2020,fid000,fid003,41
3/6/2020,fid000,fid003,41
4/27/2020,fid000,fid003,22
4/25/2020,fid000,fid003,18
4/19/2020,fid000,fid003,24
3/5/2020,fid000,fid003,50
4/18/2020,fid000,fid003,35
4/30/2020,fid000,fid003,28
4/24/2020,fid000,fid003,19
2/3/2020,fid000,fid004,17
2/29/2020,fid000,fid004,16
2/28/2020,fid000,fid005,16
4/14/2020,fid000,fid006,25
4/13/2020,fid000,fid006,18
4/12/2020,fid000,fid006,31
4/10/2020,fid000,fid006,20
3/19/2020,fid000,fid006,29
4/11/2020,fid000,fid006,27
2/3/2020,fid000,fid006,22
3/20/2020,fid000,fid007,16
4/29/2020,fid000,fid007,18
3/8/2020,fid000,fid007,21
4/15/2020,fid000,fid007,19
4/14/2020,fid000,fid007,17
3/9/2020,fid000,fid007,19
3/21/2020,fid000,fid007,16
4/28/2020,fid000,fid007,19
4/16/2020,fid000,fid007,16
4/3/2020,fid000,fid007,21
4/7/2020,fid000,fid007,17
3/31/2020,fid000,fid007,17
3/25/2020,fid000,fid007,19
3/24/2020,fid000,fid007,25
3/18/2020,fid000,fid007,20
2/3/2020,fid000,fid007,28
2/17/2020,fid000,fid007,22
2/28/2020,fid000,fid007,20
2/14/2020,fid000,fid007,36
2/1/2020,fid000,fid007,20
5/8/2020,fid000,fid007,35
2/15/2020,fid000,fid007,24
2/11/2020,fid000,fid007,19
2/5/2020,fid000,fid007,20
2/10/2020,fid000,fid007,31
2/6/2020,fid000,fid007,17
2/12/2020,fid000,fid007,23
2/13/2020,fid000,fid007,21
2/7/2020,fid000,fid007,23
2/23/2020,fid000,fid007,17
2/9/2020,fid000,fid007,20
2/21/2020,fid000,fid007,19
2/20/2020,fid000,fid007,29
5/1/2020,fid000,fid007,17
2/8/2020,fid000,fid007,15
2/24/2020,fid000,fid007,22
5/5/2020,fid000,fid007,19
2/18/2020,fid000,fid007,24
5/4/2020,fid000,fid007,25
2/25/2020,fid000,fid007,25
2/27/2020,fid000,fid007,19
2/26/2020,fid000,fid007,27
4/8/2020,fid000,fid007,20
3/28/2020,fid000,fid007,21
3/14/2020,fid000,fid007,21
3/16/2020,fid000,fid007,27
4/23/2020,fid000,fid007,19
4/22/2020,fid000,fid007,22
3/17/2020,fid000,fid007,25
3/7/2020,fid000,fid007,16
3/13/2020,fid000,fid007,24
3/6/2020,fid000,fid007,17
4/27/2020,fid000,fid007,25
4/25/2020,fid000,fid007,16
4/18/2020,fid000,fid007,14
4/30/2020,fid000,fid007,16
2/29/2020,fid000,fid014,16
2/13/2020,fid000,fid014,18
3/20/2020,fid000,fid015,146
4/29/2020,fid000,fid015,106
4/1/2020,fid000,fid015,103
3/8/2020,fid000,fid015,114
4/15/2020,fid000,fid015,96
4/14/2020,fid000,fid015,118
3/9/2020,fid000,fid015,141
3/21/2020,fid000,fid015,115
4/28/2020,fid000,fid015,132
3/23/2020,fid000,fid015,81
4/16/2020,fid000,fid015,106
4/2/2020,fid000,fid015,115
4/3/2020,fid000,fid015,128
4/17/2020,fid000,fid015,103
3/22/2020,fid000,fid015,93
4/13/2020,fid000,fid015,96
4/7/2020,fid000,fid015,124
3/26/2020,fid000,fid015,93
3/27/2020,fid000,fid015,125
4/6/2020,fid000,fid015,80
4/12/2020,fid000,fid015,65
4/4/2020,fid000,fid015,80
4/10/2020,fid000,fid015,101
3/19/2020,fid000,fid015,144
3/31/2020,fid000,fid015,113
3/25/2020,fid000,fid015,122
3/24/2020,fid000,fid015,112
3/30/2020,fid000,fid015,102
4/11/2020,fid000,fid015,83
3/18/2020,fid000,fid015,154
4/5/2020,fid000,fid015,76
5/22/2020,fid000,fid015,116
2/3/2020,fid000,fid015,189
2/17/2020,fid000,fid015,115
2/2/2020,fid000,fid015,159
5/23/2020,fid000,fid015,97
5/21/2020,fid000,fid015,102
2/28/2020,fid000,fid015,181
2/14/2020,fid000,fid015,204
5/9/2020,fid000,fid015,97
2/1/2020,fid000,fid015,198
5/8/2020,fid000,fid015,122
2/15/2020,fid000,fid015,179
5/20/2020,fid000,fid015,101
2/29/2020,fid000,fid015,168
2/11/2020,fid000,fid015,181
5/18/2020,fid000,fid015,124
2/5/2020,fid000,fid015,176
5/24/2020,fid000,fid015,103
5/30/2020,fid000,fid015,99
5/31/2020,fid000,fid015,122
5/25/2020,fid000,fid015,78
2/10/2020,fid000,fid015,182
5/19/2020,fid000,fid015,108
2/6/2020,fid000,fid015,159
2/12/2020,fid000,fid015,197
5/27/2020,fid000,fid015,126
5/26/2020,fid000,fid015,119
2/13/2020,fid000,fid015,174
2/7/2020,fid000,fid015,220
5/17/2020,fid000,fid015,83
5/3/2020,fid000,fid015,69
2/22/2020,fid000,fid015,148
2/23/2020,fid000,fid015,102
5/2/2020,fid000,fid015,100
5/16/2020,fid000,fid015,84
2/9/2020,fid000,fid015,152
5/14/2020,fid000,fid015,114
2/21/2020,fid000,fid015,220
5/28/2020,fid000,fid015,99
2/20/2020,fid000,fid015,125
5/29/2020,fid000,fid015,133
5/15/2020,fid000,fid015,130
5/1/2020,fid000,fid015,106
2/8/2020,fid000,fid015,171
2/24/2020,fid000,fid015,171
5/5/2020,fid000,fid015,126
5/11/2020,fid000,fid015,96
2/18/2020,fid000,fid015,163
5/10/2020,fid000,fid015,90
2/19/2020,fid000,fid015,175
5/4/2020,fid000,fid015,132
2/25/2020,fid000,fid015,137
2/27/2020,fid000,fid015,164
5/12/2020,fid000,fid015,124
5/6/2020,fid000,fid015,98
5/7/2020,fid000,fid015,86
5/13/2020,fid000,fid015,127
2/26/2020,fid000,fid015,139
3/15/2020,fid000,fid015,89
4/8/2020,fid000,fid015,119
4/20/2020,fid000,fid015,88
3/29/2020,fid000,fid015,98
4/21/2020,fid000,fid015,109
3/28/2020,fid000,fid015,124
4/9/2020,fid000,fid015,85
3/14/2020,fid000,fid015,123
3/2/2020,fid000,fid015,95
3/16/2020,fid000,fid015,125
4/23/2020,fid000,fid015,121
4/22/2020,fid000,fid015,107
3/17/2020,fid000,fid015,141
3/3/2020,fid000,fid015,137
4/26/2020,fid000,fid015,94
3/7/2020,fid000,fid015,137
3/13/2020,fid000,fid015,163
3/6/2020,fid000,fid015,145
4/27/2020,fid000,fid015,69
4/25/2020,fid000,fid015,85
4/19/2020,fid000,fid015,98
3/5/2020,fid000,fid015,185
4/18/2020,fid000,fid015,113
4/30/2020,fid000,fid015,97
4/24/2020,fid000,fid015,120
3/20/2020,fid001,fid000,1012
4/29/2020,fid001,fid000,687
4/1/2020,fid001,fid000,752
3/8/2020,fid001,fid000,1224
4/15/2020,fid001,fid000,519
4/14/2020,fid001,fid000,769
3/9/2020,fid001,fid000,1212
3/21/2020,fid001,fid000,1147
4/28/2020,fid001,fid000,923
3/23/2020,fid001,fid000,891
4/16/2020,fid001,fid000,743
4/2/2020,fid001,fid000,555
4/3/2020,fid001,fid000,719
4/17/2020,fid001,fid000,661
3/22/2020,fid001,fid000,879
4/13/2020,fid001,fid000,592
4/7/2020,fid001,fid000,1277
3/26/2020,fid001,fid000,1004
3/27/2020,fid001,fid000,875
4/6/2020,fid001,fid000,936
4/12/2020,fid001,fid000,553
4/4/2020,fid001,fid000,524
4/10/2020,fid001,fid000,697
3/19/2020,fid001,fid000,1107
3/31/2020,fid001,fid000,623
3/25/2020,fid001,fid000,947
3/24/2020,fid001,fid000,930
3/30/2020,fid001,fid000,650
4/11/2020,fid001,fid000,648
3/18/2020,fid001,fid000,1140
4/5/2020,fid001,fid000,823
5/22/2020,fid001,fid000,954
2/3/2020,fid001,fid000,1638
2/17/2020,fid001,fid000,1218
2/2/2020,fid001,fid000,1429
5/23/2020,fid001,fid000,1041
5/21/2020,fid001,fid000,806
2/28/2020,fid001,fid000,1776
2/14/2020,fid001,fid000,1671
5/9/2020,fid001,fid000,975
2/1/2020,fid001,fid000,1959
5/8/2020,fid001,fid000,922
2/15/2020,fid001,fid000,1760
5/20/2020,fid001,fid000,946
2/29/2020,fid001,fid000,1688
2/11/2020,fid001,fid000,1320
5/18/2020,fid001,fid000,911
2/5/2020,fid001,fid000,1437
5/24/2020,fid001,fid000,618
5/30/2020,fid001,fid000,876
5/31/2020,fid001,fid000,686
5/25/2020,fid001,fid000,832
2/10/2020,fid001,fid000,1618
5/19/2020,fid001,fid000,856
2/6/2020,fid001,fid000,1505
2/12/2020,fid001,fid000,1327
5/27/2020,fid001,fid000,954
5/26/2020,fid001,fid000,869
2/13/2020,fid001,fid000,1353
2/7/2020,fid001,fid000,1535
5/17/2020,fid001,fid000,648
5/3/2020,fid001,fid000,728
2/22/2020,fid001,fid000,1380
2/23/2020,fid001,fid000,1096
5/2/2020,fid001,fid000,817
5/16/2020,fid001,fid000,724
2/9/2020,fid001,fid000,1480
5/14/2020,fid001,fid000,858
2/21/2020,fid001,fid000,1557
5/28/2020,fid001,fid000,787
2/20/2020,fid001,fid000,1433
5/29/2020,fid001,fid000,755
5/15/2020,fid001,fid000,842
5/1/2020,fid001,fid000,969
2/8/2020,fid001,fid000,1581
2/24/2020,fid001,fid000,1292
5/5/2020,fid001,fid000,865
5/11/2020,fid001,fid000,767
2/18/2020,fid001,fid000,1123
5/10/2020,fid001,fid000,798
2/19/2020,fid001,fid000,1205
5/4/2020,fid001,fid000,874
2/25/2020,fid001,fid000,1296
2/27/2020,fid001,fid000,1368
5/12/2020,fid001,fid000,852
5/6/2020,fid001,fid000,871
5/7/2020,fid001,fid000,828
5/13/2020,fid001,fid000,808
2/26/2020,fid001,fid000,1259
3/15/2020,fid001,fid000,950
4/8/2020,fid001,fid000,763
4/20/2020,fid001,fid000,651
3/29/2020,fid001,fid000,1237
4/21/2020,fid001,fid000,647
3/28/2020,fid001,fid000,1020
4/9/2020,fid001,fid000,702
3/14/2020,fid001,fid000,1246
3/2/2020,fid001,fid000,1433
3/16/2020,fid001,fid000,1358
4/23/2020,fid001,fid000,734
4/22/2020,fid001,fid000,716
3/17/2020,fid001,fid000,1187
3/3/2020,fid001,fid000,1222
4/26/2020,fid001,fid000,578
3/7/2020,fid001,fid000,1654
3/13/2020,fid001,fid000,1191
3/6/2020,fid001,fid000,1311
4/27/2020,fid001,fid000,758
4/25/2020,fid001,fid000,960
4/19/2020,fid001,fid000,491
3/5/2020,fid001,fid000,1654
4/18/2020,fid001,fid000,521
4/30/2020,fid001,fid000,755
4/24/2020,fid001,fid000,920
3/20/2020,fid001,fid001,197892
4/29/2020,fid001,fid001,182636
4/1/2020,fid001,fid001,174747
3/8/2020,fid001,fid001,196123
4/15/2020,fid001,fid001,175889
4/14/2020,fid001,fid001,165421
3/9/2020,fid001,fid001,196831
3/21/2020,fid001,fid001,202474
4/28/2020,fid001,fid001,194360
3/23/2020,fid001,fid001,194949
4/16/2020,fid001,fid001,166432
4/2/2020,fid001,fid001,169970
4/3/2020,fid001,fid001,186375
4/17/2020,fid001,fid001,180266
3/22/2020,fid001,fid001,190479
4/13/2020,fid001,fid001,170060
4/7/2020,fid001,fid001,190198
3/26/2020,fid001,fid001,199835
3/27/2020,fid001,fid001,193535
4/6/2020,fid001,fid001,176422
4/12/2020,fid001,fid001,167039
4/4/2020,fid001,fid001,179938
4/10/2020,fid001,fid001,176063
3/19/2020,fid001,fid001,192918
3/31/2020,fid001,fid001,190418
3/25/2020,fid001,fid001,203110
3/24/2020,fid001,fid001,193244
3/30/2020,fid001,fid001,190271
4/11/2020,fid001,fid001,171827
3/18/2020,fid001,fid001,201394
4/5/2020,fid001,fid001,182505
5/22/2020,fid001,fid001,213600
2/3/2020,fid001,fid001,226461
2/17/2020,fid001,fid001,222262
2/2/2020,fid001,fid001,217309
5/23/2020,fid001,fid001,175582
5/21/2020,fid001,fid001,197971
2/28/2020,fid001,fid001,211977
2/14/2020,fid001,fid001,260191
5/9/2020,fid001,fid001,187155
2/1/2020,fid001,fid001,238344
5/8/2020,fid001,fid001,188987
2/15/2020,fid001,fid001,223832
5/20/2020,fid001,fid001,204440
2/29/2020,fid001,fid001,210148
2/11/2020,fid001,fid001,241508
5/18/2020,fid001,fid001,174603
2/5/2020,fid001,fid001,225581
5/24/2020,fid001,fid001,166792
